index,column_name,description,time_stamp,units
0,percent(t),Live fuel moisture content,date,percent
1,date,Date of measurement of live fuel moisture content,date,date_time object
2,site,Name of site where live fuel moisture content was measured. Refer to National Fuel Moisture Database https://www.wfas.net/index.php/national-fuel-moisture-database-moisture-drought-103 for map of site names,none,string
3,slope(t),Terrain slope ,none,degrees
4,elevation(t),Altitude above mean sea level,none,meters
5,canopy_height(t),Height of canopy from ground level,none,meters
6,forest_cover(t),Land cover class of live fuel moisture content measurement site from GLOBCOVER dataset,2009,category
7,silt(t),Silt fraction of live fuel moisture content measurement site ,none,fraction
8,sand(t),Sand fraction of live fuel moisture content measurement site ,none,fraction
9,clay(t),Clay fraction of live fuel moisture content measurement site ,none,fraction
10,vv(t-3),Backscatter in VV polarization,3 months before date,decibels
11,vh(t-3),Backscatter in VH polarization,3 months before date,decibels
12,red(t-3),Red band surface reflectance ,3 months before date,"x 10,000"
13,green(t-3),Green band surface reflectance ,3 months before date,"x 10,000"
14,blue(t-3),Blue band surface reflectance ,3 months before date,"x 10,000"
15,swir(t-3),Shortwave infrared band surface reflectance ,3 months before date,"x 10,000"
16,nir(t-3),Near infrared band surface reflectance ,3 months before date,"x 10,000"
17,ndvi(t-3),Normalized difference vegetation index,3 months before date,fraction
18,ndwi(t-3),Normalized difference water index,3 months before date,fraction
19,nirv(t-3),Near infrared vegetation,3 months before date,"x 10,000"
20,vv_red(t-3),Backscatter in VV polarization divided by red band reflectance,3 months before date,decibels
21,vv_green(t-3),Backscatter in VV polarization divided by green band reflectance,3 months before date,decibels
22,vv_blue(t-3),Backscatter in VV polarization divided by blue band reflectance,3 months before date,decibels
23,vv_swir(t-3),Backscatter in VV polarization divided by SWIR band reflectance,3 months before date,decibels
24,vv_nir(t-3),Backscatter in VV polarization divided by NIR band reflectance,3 months before date,decibels
25,vv_ndvi(t-3),Backscatter in VV polarization divided by NDVI,3 months before date,decibels
26,vv_ndwi(t-3),Backscatter in VV polarization divided by NDWI,3 months before date,decibels
27,vv_nirv(t-3),Backscatter in VV polarization divided by NIRv,3 months before date,decibels
28,vh_red(t-3),Backscatter in VH polarization divided by red band reflectance,3 months before date,decibels
29,vh_green(t-3),Backscatter in VH polarization divided by green band reflectance,3 months before date,decibels
30,vh_blue(t-3),Backscatter in VH polarization divided by blue band reflectance,3 months before date,decibels
31,vh_swir(t-3),Backscatter in VH polarization divided by SWIR band reflectance,3 months before date,decibels
32,vh_nir(t-3),Backscatter in VH polarization divided by NIR band reflectance,3 months before date,decibels
33,vh_ndvi(t-3),Backscatter in VH polarization divided by NDVI,3 months before date,decibels
34,vh_ndwi(t-3),Backscatter in VH polarization divided by NDWI,3 months before date,decibels
35,vh_nirv(t-3),Backscatter in VH polarization divided by NIRv,3 months before date,decibels
36,vh_vv(t-3),Backscatter in VH polarization divided by VV polarization,3 months before date,fraction
37,vv(t-2),Backscatter in VV polarization,2 months before date,decibels
38,vh(t-2),Backscatter in VH polarization,2 months before date,decibels
39,red(t-2),Red band surface reflectance ,2 months before date,"x 10,000"
40,green(t-2),Green band surface reflectance ,2 months before date,"x 10,000"
41,blue(t-2),Blue band surface reflectance ,2 months before date,"x 10,000"
42,swir(t-2),Shortwave infrared band surface reflectance ,2 months before date,"x 10,000"
43,nir(t-2),Near infrared band surface reflectance ,2 months before date,"x 10,000"
44,ndvi(t-2),Normalized difference vegetation index,2 months before date,fraction
45,ndwi(t-2),Normalized difference water index,2 months before date,fraction
46,nirv(t-2),Near infrared vegetation,2 months before date,"x 10,000"
47,vv_red(t-2),Backscatter in VV polarization divided by red band reflectance,2 months before date,decibels
48,vv_green(t-2),Backscatter in VV polarization divided by green band reflectance,2 months before date,decibels
49,vv_blue(t-2),Backscatter in VV polarization divided by blue band reflectance,2 months before date,decibels
