longitude,latitude,date,B1,B2,B3,B4,B5,B6,B7,pixel_qa
-109.24636748998532,41.28881624634351,2019-06-12 17:55:15.099999905,513,646,1001,1179,2305,2806,2302,322
-109.24636748998532,41.28881624634351,2019-06-28 17:55:20.140000105,543,669,994,1185,2368,2904,2392,322
-109.24636748998532,41.28881624634351,2019-07-14 17:55:23.157999992,522,657,977,1177,2323,2907,2316,322
-109.24636748998532,41.28881624634351,2019-07-30 17:55:29.114000082,523,663,987,1224,2280,2994,2367,322
-109.24636748998532,41.28881624634351,2019-08-15 17:55:34.736000061,517,646,948,1192,2165,2899,2335,322
-109.24636748998532,41.28881624634351,2019-08-31 17:55:38.417999983,511,650,950,1223,2086,2958,2300,322
-109.24636748998532,41.28881624634351,2019-09-16 17:55:43.562000036,822,956,1263,1554,2449,3337,2691,352
-109.24636748998532,41.28881624634351,2019-10-02 17:55:48.127000093,5342,5391,5297,5417,5650,4976,4285,992
-109.24636748998532,41.28881624634351,2019-10-18 17:55:50.243999958,1124,1204,1386,1626,2290,1704,1246,480
-109.24636748998532,41.28881624634351,2019-11-03 17:55:49.638999939,2386,2393,2381,2439,2629,1164,1018,992
-109.24636748998532,41.28881624634351,2019-11-19 17:55:46.115999937,2578,2618,2731,2899,3394,3519,3318,992
-109.24636748998532,41.28881624634351,2020-01-06 17:55:38.625999928,8232,8234,7886,8055,7574,495,589,336
-109.24636748998532,41.28881624634351,2020-01-22 17:55:35.036999941,8152,8191,8094,8147,8098,3890,3588,992
-109.24636748998532,41.28881624634351,2020-02-07 17:55:29.874000072,6695,6498,6121,5957,5713,3328,2582,480
-109.24636748998532,41.28881624634351,2020-02-23 17:55:26.380000114,7118,7127,6943,7031,6390,507,554,336
-109.24636748998532,41.28881624634351,2019-06-12 17:55:38.990000010,513,611,894,1022,2146,2654,2138,322
-109.24636748998532,41.28881624634351,2019-06-28 17:55:44.019999981,556,672,976,1163,2343,2908,2393,322
-109.24636748998532,41.28881624634351,2019-07-14 17:55:47.045000076,526,656,967,1163,2312,2924,2323,322
-109.24636748998532,41.28881624634351,2019-07-30 17:55:52.996999979,535,666,973,1203,2268,3009,2373,322
-109.24636748998532,41.28881624634351,2019-08-15 17:55:58.631000042,524,638,913,1130,2133,2843,2274,322
-109.24636748998532,41.28881624634351,2019-08-31 17:56:02.309000015,512,648,938,1201,2089,2987,2318,322
-109.24636748998532,41.28881624634351,2019-09-16 17:56:07.453000069,753,888,1161,1438,2332,3284,2637,352
-109.24636748998532,41.28881624634351,2019-10-02 17:56:12.013000011,4609,4617,4523,4618,4865,4298,3638,992
-109.24636748998532,41.28881624634351,2019-10-18 17:56:14.134999990,942,1013,1171,1370,2070,1841,1312,328
-109.24636748998532,41.28881624634351,2019-11-03 17:56:13.526000023,1982,1980,1968,2023,2344,1278,1100,992
-109.24636748998532,41.28881624634351,2019-11-19 17:56:09.999000072,2263,2294,2380,2536,3018,3186,2950,992
-109.24636748998532,41.28881624634351,2019-12-05 17:56:09.361999989,7081,7020,6777,6765,6754,2395,2406,480
-109.24636748998532,41.28881624634351,2020-01-06 17:56:02.516999960,6561,6586,6366,6535,6943,763,734,336
-109.24636748998532,41.28881624634351,2020-01-22 17:55:58.924000025,8191,8233,8119,8218,8199,3981,3690,992
-109.24636748998532,41.28881624634351,2020-02-07 17:55:53.756999969,6341,6128,5694,5546,5327,2882,2178,480
-109.24636748998532,41.28881624634351,2020-02-23 17:55:50.266999959,7126,7238,7179,7270,6692,560,557,336
-109.24636748998532,41.28881624634351,2019-06-03 18:01:22.200000048,543,657,988,1119,2323,2642,2086,322
-109.24636748998532,41.28881624634351,2019-06-19 18:01:28.390000105,452,566,902,1073,2241,2649,2130,322
-109.24636748998532,41.28881624634351,2019-07-05 18:01:32.552000046,480,591,902,1092,2188,2681,2177,322
-109.24636748998532,41.28881624634351,2019-07-21 18:01:35.913000107,489,621,949,1180,2252,2810,2234,322
-109.24636748998532,41.28881624634351,2019-08-06 18:01:42.644000053,504,635,953,1189,2180,2803,2255,322
-109.24636748998532,41.28881624634351,2019-08-22 18:01:47.388999939,7327,7324,7365,7433,7503,2560,2998,992
-109.24636748998532,41.28881624634351,2019-09-07 18:01:50.834000111,416,532,813,1066,1931,2555,1970,322
-109.24636748998532,41.28881624634351,2019-09-23 18:01:56.642999887,478,591,858,1106,1809,2578,2120,322
-109.24636748998532,41.28881624634351,2019-10-09 18:02:00.178999901,457,601,898,1169,1819,2577,2107,322
-109.24636748998532,41.28881624634351,2019-10-25 18:02:01.165999889,405,520,764,1020,1610,2319,1862,322
-109.24636748998532,41.28881624634351,2019-11-10 18:01:59.282000065,3918,3909,3923,4027,4378,2579,2561,992
-109.24636748998532,41.28881624634351,2019-11-26 18:01:56.578000069,7600,7517,7340,7391,7340,1866,2032,992
-109.24636748998532,41.28881624634351,2019-12-12 18:01:55.513000011,5555,5423,5147,5123,4974,916,859,336
-109.24636748998532,41.28881624634351,2019-12-28 18:01:51.680999994,9052,8752,7885,7860,7416,1800,1940,400
-109.24636748998532,41.28881624634351,2020-01-13 18:01:48.210999966,6960,6860,6684,6703,6756,3895,3295,480
-109.24636748998532,41.28881624634351,2020-01-29 18:01:43.483000040,7835,7535,6827,6752,6443,1423,1479,336
-109.24636748998532,41.28881624634351,2020-02-14 18:01:39.471999884,7349,7324,7174,7289,6678,529,610,336
