longitude,latitude,date,B1,B2,B3,B4,B5,B6,B7,pixel_qa
-112.32309733809467,40.06261588352036,2019-06-10 18:07:59.869999886,1185,1291,1592,1755,2791,2930,2490,864
-112.32309733809467,40.06261588352036,2019-06-26 18:08:05.140000105,814,1010,1406,1658,2810,3201,2605,322
-112.32309733809467,40.06261588352036,2019-07-12 18:08:08.423000097,853,1025,1407,1699,2759,3397,2711,322
-112.32309733809467,40.06261588352036,2019-07-28 18:08:13.786999941,1698,1867,2293,2562,3433,3879,3114,322
-112.32309733809467,40.06261588352036,2019-08-13 18:08:19.667000055,840,1009,1380,1689,2583,3329,2707,322
-112.32309733809467,40.06261588352036,2019-08-29 18:08:23.589999914,860,1045,1428,1751,2648,3351,2632,322
-112.32309733809467,40.06261588352036,2019-09-14 18:08:28.369999886,830,998,1377,1693,2569,3191,2503,322
-112.32309733809467,40.06261588352036,2019-09-30 18:08:33.230999947,838,1013,1389,1748,2663,3454,2732,322
-112.32309733809467,40.06261588352036,2019-10-16 18:08:35.661999941,745,902,1208,1519,2142,2886,2338,322
-112.32309733809467,40.06261588352036,2019-11-01 18:08:35.415999889,786,958,1299,1630,2409,2970,2271,322
-112.32309733809467,40.06261588352036,2019-11-17 18:08:32.249000072,652,818,1106,1405,2006,2638,2001,322
-112.32309733809467,40.06261588352036,2019-12-03 18:08:31.141999960,5628,5883,6020,6507,6249,423,379,336
-112.32309733809467,40.06261588352036,2020-01-04 18:08:24.420000076,6627,6666,6718,6804,6872,3137,3174,992
-112.32309733809467,40.06261588352036,2020-02-05 18:08:15.642999887,6301,6345,6299,6423,6529,1944,1989,992
-112.32309733809467,40.06261588352036,2020-02-21 18:08:12.486999989,733,826,990,1101,1450,1398,1094,328
