Site,Latitude,Longitude
Anchorage-Campbell Tract,61.15805556,-149.7736111
Bears Den,65.11638889,-147.8005556
CR Gulkana,62.15916667,-145.4483333
CR Kenny Lake,61.72972222,-144.955
CR Mendeltna,62.04777778,-146.5322222
Denali-DVC,63.73555556,-148.8988889
Fairbanks-Ballaine,64.91361111,-147.8375
Hammond,64.00444444,-145.6586111
Harding Lake,64.44416667,-146.8333333
Holmes Rd,64.82361111,-147.5522222
MSS Burnt Butte,61.56138889,-148.9919444
McGrath,62.88861111,-155.5469444
Rex Bridge,64.21638889,-149.2994444
Sterling,60.56055556,-150.6255556
Tok,63.355,-143.0394444
Willow,61.78638889,-150.0855556
Blackstone,42.44111111,-115.8855556
Hammett,42.96722222,-115.4569444
Kuna,43.44222222,-116.4352778
Simco,43.08833333,-115.9663889
Triangle,42.805,-116.6316667
Wild West,43.87055556,-116.7775
Cascade North Zone,44.64194444,-115.6325
Emmett North Zone,44.09111111,-115.8805556
Idaho City SZ,43.84722222,-115.8855556
Lowman North Zone,44.10472222,-115.1530556
Mountain Home - Grouse Creek,43.52416667,-115.1955556
Mtn Home RD - South,43.44333333,-115.3536111
Coffee Point,43.12583333,-112.8675
Curlew,42.19611111,-112.5802778
Double Springs,44.15805556,-113.8738889
Dubois,44.0675,-112.2330556
Game Creek,43.57777778,-111.06
Idaho Falls,43.54,-111.9038889
Morgan Creek,44.66833333,-114.2283333
Pocatello,42.83333333,-112.405
Rock Spring,44.35166667,-113.7936111
Sand Creek Desert,44.12055556,-111.8077778
Sellers Creek,43.25333333,-111.8077778
Soda Hills,42.7425,-111.7922222
Spar Canyon,44.28333333,-114.1333333
Table Legs Butte,43.41777778,-112.7894444
Boise Basin,43.77111111,-116.1030556
Centerville,43.89416667,-115.9336111
Fall Creek,44.61388889,-116.3213889
Krassel,44.97222222,-115.7302778
Lick Creek,45.025,-115.9330556
McCall,44.91111111,-116.0977778
Skihill,44.94361111,-116.1877778
South Grays Creek,44.54694444,-116.3338889
Steck Park,44.27027778,-117.1347222
