,longitude,latitude,date,b1,blue,green,red,nir,swir,b7,pixel_qa,site,ndvi,ndwi,nirv
0,-109.24636748998532,41.28881624634351,2019-06-12,513,646,1001,1179,2305,2806,2302,322,Lower Sage,0.3231917336394948,-0.09802387008413227,744.9569460390355
1,-109.24636748998532,41.28881624634351,2019-06-28,543,669,994,1185,2368,2904,2392,322,Lower Sage,0.3329580636082184,-0.10166919575113809,788.4446946242612
2,-109.24636748998532,41.28881624634351,2019-07-14,522,657,977,1177,2323,2907,2316,322,Lower Sage,0.3274285714285714,-0.11166347992351816,760.6165714285713
3,-109.24636748998532,41.28881624634351,2019-07-30,523,663,987,1224,2280,2994,2367,322,Lower Sage,0.3013698630136986,-0.1353811149032992,687.1232876712328
4,-109.24636748998532,41.28881624634351,2019-08-15,517,646,948,1192,2165,2899,2335,322,Lower Sage,0.28984212094131667,-0.14494470774091628,627.5081918379506
5,-109.24636748998532,41.28881624634351,2019-08-31,511,650,950,1223,2086,2958,2300,322,Lower Sage,0.2608038682381384,-0.17287866772402855,544.0368691447567
11,-109.24636748998532,41.28881624634351,2020-01-06,8232,8234,7886,8055,7574,495,589,336,Lower Sage,-0.030776121312943886,0.8773082166315529,-233.098342824237
14,-109.24636748998532,41.28881624634351,2020-02-23,7118,7127,6943,7031,6390,507,554,336,Lower Sage,-0.04776097161165338,0.8529795563288386,-305.1926085984651
15,-109.24636748998532,41.28881624634351,2019-06-12,513,611,894,1022,2146,2654,2138,322,Lower Sage,0.3547979797979798,-0.10583333333333333,761.3964646464646
16,-109.24636748998532,41.28881624634351,2019-06-28,556,672,976,1163,2343,2908,2393,322,Lower Sage,0.3365658870507701,-0.10759855265663683,788.5738733599544
17,-109.24636748998532,41.28881624634351,2019-07-14,526,656,967,1163,2312,2924,2323,322,Lower Sage,0.3306474820143885,-0.11688311688311688,764.4569784172662
18,-109.24636748998532,41.28881624634351,2019-07-30,535,666,973,1203,2268,3009,2373,322,Lower Sage,0.30682800345721695,-0.1404206935758954,695.885911840968
19,-109.24636748998532,41.28881624634351,2019-08-15,524,638,913,1130,2133,2843,2274,322,Lower Sage,0.3073858412503831,-0.14268488745980706,655.6539993870672
20,-109.24636748998532,41.28881624634351,2019-08-31,512,648,938,1201,2089,2987,2318,322,Lower Sage,0.26990881458966565,-0.1769109535066982,563.8395136778115
27,-109.24636748998532,41.28881624634351,2020-01-06,6561,6586,6366,6535,6943,763,734,336,Lower Sage,0.030271553642973736,0.801972488969634,210.17539694316665
30,-109.24636748998532,41.28881624634351,2020-02-23,7126,7238,7179,7270,6692,560,557,336,Lower Sage,-0.041398080504225755,0.8455598455598455,-277.03595473427873
31,-109.24636748998532,41.28881624634351,2019-06-03,543,657,988,1119,2323,2642,2086,322,Lower Sage,0.3497966298663568,-0.06424974823766365,812.5775711795468
32,-109.24636748998532,41.28881624634351,2019-06-19,452,566,902,1073,2241,2649,2130,322,Lower Sage,0.3524441762220881,-0.0834355828220859,789.8273989136995
33,-109.24636748998532,41.28881624634351,2019-07-05,480,591,902,1092,2188,2681,2177,322,Lower Sage,0.33414634146341465,-0.10125282398849866,731.1121951219512
34,-109.24636748998532,41.28881624634351,2019-07-21,489,621,949,1180,2252,2810,2234,322,Lower Sage,0.3123543123543124,-0.11023310944290794,703.4219114219114
35,-109.24636748998532,41.28881624634351,2019-08-06,504,635,953,1189,2180,2803,2255,322,Lower Sage,0.2941525675274562,-0.12502508528998596,641.2525972098546
37,-109.24636748998532,41.28881624634351,2019-09-07,416,532,813,1066,1931,2555,1970,322,Lower Sage,0.28862195528862195,-0.13909942041908158,557.328995662329
38,-109.24636748998532,41.28881624634351,2019-09-23,478,591,858,1106,1809,2578,2120,322,Lower Sage,0.2411663807890223,-0.175290631410987,436.26998284734134
39,-109.24636748998532,41.28881624634351,2019-10-09,457,601,898,1169,1819,2577,2107,322,Lower Sage,0.2175368139223561,-0.1724294813466788,395.69946452476574
40,-109.24636748998532,41.28881624634351,2019-10-25,405,520,764,1020,1610,2319,1862,322,Lower Sage,0.22433460076045628,-0.1804530414863833,361.17870722433463
43,-109.24636748998532,41.28881624634351,2019-12-12,5555,5423,5147,5123,4974,916,859,336,Lower Sage,-0.014756858472813708,0.6889643463497453,-73.40061404377538
44,-109.24636748998532,41.28881624634351,2019-12-28,9052,8752,7885,7860,7416,1800,1940,400,Lower Sage,-0.029065200314218383,0.609375,-215.54752553024352
46,-109.24636748998532,41.28881624634351,2020-01-29,7835,7535,6827,6752,6443,1423,1479,336,Lower Sage,-0.023417961348995833,0.6381896770912789,-150.88192497158016
47,-109.24636748998532,41.28881624634351,2020-02-14,7349,7324,7174,7289,6678,529,610,336,Lower Sage,-0.04374597264981743,0.8531982794505342,-292.1356053554808
49,-112.3230973380947,40.06261588352036,2019-06-26,814,1010,1406,1658,2810,3201,2605,322,Vernon,0.25783348254252464,-0.06504741307602728,724.5120859444943
50,-112.3230973380947,40.06261588352036,2019-07-12,853,1025,1407,1699,2759,3397,2711,322,Vernon,0.23777478689995513,-0.10363872644574398,656.0206370569762
51,-112.3230973380947,40.06261588352036,2019-07-28,1698,1867,2293,2562,3433,3879,3114,322,Vernon,0.14528773978315263,-0.06099562363238512,498.77281067556294
52,-112.3230973380947,40.06261588352036,2019-08-13,840,1009,1380,1689,2583,3329,2707,322,Vernon,0.20926966292134833,-0.12618403247631935,540.5435393258427
53,-112.3230973380947,40.06261588352036,2019-08-29,860,1045,1428,1751,2648,3351,2632,322,Vernon,0.20390997954080473,-0.1171861976996166,539.953625824051
54,-112.3230973380947,40.06261588352036,2019-09-14,830,998,1377,1693,2569,3191,2503,322,Vernon,0.2055373064289066,-0.10798611111111112,528.0253402158611
55,-112.3230973380947,40.06261588352036,2019-09-30,838,1013,1389,1748,2663,3454,2732,322,Vernon,0.20743595556563138,-0.12931175412784043,552.4019496712764
56,-112.3230973380947,40.06261588352036,2019-10-16,745,902,1208,1519,2142,2886,2338,322,Vernon,0.1701720841300191,-0.14797136038186157,364.50860420650093
57,-112.3230973380947,40.06261588352036,2019-11-01,786,958,1299,1630,2409,2970,2271,322,Vernon,0.19286952215895023,-0.10429447852760736,464.6226788809111
58,-112.3230973380947,40.06261588352036,2019-11-17,652,818,1106,1405,2006,2638,2001,322,Vernon,0.1761946643213134,-0.13608957795004306,353.44649662855466
59,-112.3230973380947,40.06261588352036,2019-12-03,5628,5883,6020,6507,6249,423,379,336,Vernon,-0.02022577610536218,0.8732014388489209,-126.39087488240827
